iter	Passed	Remaining
455	979	1168
456	980	1165
457	983	1163
458	985	1161
459	987	1158
460	988	1155
461	990	1153
462	992	1150
463	993	1148
464	995	1144
465	998	1144
466	1001	1143
467	1003	1140
468	1004	1137
469	1005	1134
470	1007	1131
471	1008	1127
472	1009	1124
473	1010	1121
474	1013	1120
475	1015	1118
476	1018	1116
477	1019	1113
478	1020	1110
479	1022	1107
480	1023	1104
481	1024	1101
482	1025	1098
483	1028	1095
484	1029	1093
485	1031	1090
486	1033	1088
487	1035	1085
488	1037	1084
489	1040	1082
490	1045	1083
491	1048	1082
492	1051	1081
493	1053	1079
494	1058	1079
495	1062	1080
496	1065	1078
497	1067	1075
498	1073	1078
499	1079	1079
500	1085	1081
501	1091	1082
502	1098	1084
503	1105	1088
504	1111	1089
505	1113	1087
506	1116	1085
507	1118	1082
508	1123	1084
509	1127	1083
510	1129	1081
511	1131	1078
512	1134	1077
513	1137	1075
514	1142	1075
515	1144	1073
516	1147	1071
517	1149	1069
518	1152	1068
519	1155	1066
520	1157	1063
521	1159	1061
522	1162	1060
523	1175	1067
524	1178	1065
525	1183	1066
526	1187	1065
527	1189	1063
528	1192	1061
529	1194	1059
530	1199	1059
531	1201	1057
532	1203	1054
533	1205	1051
534	1206	1049
535	1208	1046
536	1210	1043
537	1213	1041
538	1215	1039
539	1216	1036
540	1218	1033
541	1220	1031
542	1222	1028
543	1223	1025
544	1225	1023
545	1254	1043
546	1262	1045
547	1265	1043
548	1267	1041
549	1271	1040
550	1272	1037
551	1276	1036
552	1281	1035
553	1283	1033
554	1285	1030
555	1287	1028
556	1289	1025
557	1292	1023
558	1293	1020
559	1297	1019
560	1298	1016
561	1300	1013
562	1302	1010
563	1306	1009
564	1309	1008
565	1311	1005
566	1312	1002
567	1314	999
568	1315	996
569	1316	993
570	1317	989
571	1319	986
572	1321	985
573	1323	982
574	1325	979
575	1326	976
576	1327	973
577	1329	970
578	1330	967
579	1331	964
580	1332	961
581	1335	958
582	1337	956
583	1339	953
584	1340	951
585	1342	948
586	1343	945
587	1344	942
588	1345	939
589	1347	936
590	1349	933
591	1354	933
592	1356	930
593	1357	927
594	1358	924
595	1359	921
596	1361	918
597	1362	916
598	1367	915
599	1370	913
600	1374	912
601	1375	909
602	1376	906
603	1377	903
604	1378	900
605	1381	898
606	1382	895
607	1384	892
608	1385	889
609	1386	886
610	1388	883
611	1389	880
612	1390	877
613	1391	874
614	1392	871
615	1393	868
616	1396	866
617	1397	863
618	1398	860
619	1400	858
620	1401	855
621	1402	852
622	1404	849
623	1405	846
624	1406	843
625	1407	841
626	1408	838
627	1412	836
628	1415	834
629	1416	831
630	1417	829
631	1419	826
632	1420	823
633	1422	821
634	1423	818
635	1427	816
636	1428	814
637	1429	811
638	1431	808
639	1432	805
640	1433	802
641	1434	799
642	1435	797
643	1436	794
644	1438	791
645	1439	788
646	1441	786
647	1444	784
648	1445	781
649	1447	779
650	1448	776
651	1449	773
652	1450	770
653	1451	768
654	1452	765
655	1455	763
656	1457	760
657	1458	758
658	1459	755
659	1461	752
660	1462	750
661	1463	747
662	1465	744
663	1466	741
664	1467	739
665	1470	737
666	1472	734
667	1473	732
668	1476	730
669	1477	727
670	1478	724
671	1479	722
672	1480	719
673	1482	716
674	1484	714
675	1487	712
676	1488	710
677	1489	707
678	1490	704
679	1492	702
680	1493	699
681	1494	696
682	1495	693
683	1496	691
684	1497	688
685	1502	687
686	1504	685
687	1505	682
688	1506	679
689	1507	677
690	1508	674
691	1509	672
692	1511	669
693	1512	666
694	1516	665
695	1518	663
696	1519	660
697	1520	657
698	1521	655
699	1523	652
700	1524	650
701	1525	647
702	1526	644
703	1527	642
704	1531	640
705	1533	638
706	1534	636
707	1536	633
708	1537	631
709	1539	628
710	1540	626
711	1542	623
712	1544	621
713	1546	619
714	1549	617
715	1550	615
716	1552	612
717	1554	610
718	1556	608
719	1557	605
720	1560	603
721	1562	601
722	1563	599
723	1565	596
724	1566	594
725	1568	591
726	1569	589
727	1571	587
728	1574	585
729	1576	583
730	1578	580
731	1580	578
732	1581	576
733	1583	573
734	1585	571
735	1587	569
736	1590	567
737	1592	565
738	1594	563
739	1596	560
740	1610	562
741	1611	560
742	1614	558
743	1616	556
744	1619	554
745	1621	552
746	1623	549
747	1624	547
748	1625	544
749	1627	542
750	1628	540
751	1630	537
752	1631	535
753	1643	536
754	1645	533
755	1646	531
756	1648	529
757	1649	526
758	1652	524
759	1657	523
760	1659	521
761	1660	518
762	1661	516
763	1662	513
764	1664	511
765	1666	508
766	1668	506
767	1669	504
768	1670	501
769	1672	499
770	1673	496
771	1674	494
772	1675	492
773	1677	489
774	1679	487
775	1682	485
776	1686	483
777	1687	481
778	1688	479
779	1689	476
780	1691	474
781	1692	471
782	1693	469
783	1695	467
784	1697	465
785	1700	462
786	1702	460
787	1704	458
788	1706	456
789	1708	454
790	1709	451
791	1711	449
792	1714	447
793	1715	445
794	1716	442
795	1717	440
796	1719	437
797	1720	435
798	1721	432
799	1722	430
800	1723	428
801	1724	425
802	1726	423
803	1728	421
804	1729	418
805	1730	416
806	1731	414
807	1732	411
808	1733	409
809	1734	406
810	1735	404
811	1736	402
812	1737	399
813	1739	397
814	1742	395
815	1744	393
816	1748	391
817	1749	389
818	1751	387
819	1752	384
820	1753	382
821	1754	379
822	1757	378
823	1759	375
824	1761	373
825	1762	371
826	1763	368
827	1764	366
828	1765	364
829	1767	361
830	1768	359
831	1769	357
832	1770	354
833	1773	352
834	1774	350
835	1776	348
836	1777	346
837	1778	343
838	1780	341
839	1781	339
840	1782	336
841	1783	334
842	1784	332
843	1785	330
844	1788	327
845	1790	325
846	1791	323
847	1792	321
848	1793	319
849	1794	316
850	1796	314
851	1797	312
852	1798	309
853	1799	307
854	1801	305
855	1803	303
856	1806	301
857	1807	299
858	1808	296
859	1810	294
860	1811	292
861	1812	290
862	1814	288
863	1816	285
864	1818	283
865	1819	281
866	1820	279
867	1822	277
868	1823	274
869	1824	272
870	1826	270
871	1827	268
872	1828	266
873	1829	263
874	1830	261
875	1834	259
876	1836	257
877	1837	255
878	1839	253
879	1840	250
880	1841	248
881	1842	246
882	1843	244
883	1844	242
884	1846	239
885	1848	237
886	1849	235
887	1851	233
888	1852	231
889	1853	229
890	1854	226
891	1856	224
892	1857	222
893	1859	220
894	1861	218
895	1863	216
896	1864	214
897	1866	211
898	1867	209
899	1869	207
900	1871	205
901	1872	203
902	1874	201
903	1875	199
904	1876	197
905	1878	194
906	1880	192
907	1882	190
908	1883	188
909	1884	186
910	1885	184
911	1886	182
912	1887	179
913	1889	177
914	1890	175
915	1891	173
916	1893	171
917	1894	169
918	1895	167
919	1896	164
920	1898	162
921	1899	160
922	1900	158
923	1901	156
924	1902	154
925	1903	152
926	1904	149
927	1905	147
928	1907	145
929	1909	143
930	1910	141
931	1912	139
932	1913	137
933	1914	135
934	1915	133
935	1916	131
936	1917	128
937	1918	126
938	1919	124
939	1921	122
940	1923	120
941	1925	118
942	1927	116
943	1928	114
944	1929	112
945	1930	110
946	1931	108
947	1933	106
948	1934	103
949	1935	101
950	1937	99
951	1939	97
952	1940	95
953	1942	93
954	1943	91
955	1944	89
956	1945	87
957	1947	85
958	1949	83
959	1950	81
960	1953	79
961	1955	77
962	1956	75
963	1957	73
964	1959	71
965	1960	68
966	1961	66
967	1963	64
968	1964	62
969	1966	60
970	1968	58
971	1970	56
972	1972	54
973	1973	52
974	1974	50
975	1975	48
976	1976	46
977	1977	44
978	1978	42
979	1979	40
980	1981	38
981	1983	36
982	1985	34
983	1987	32
984	1988	30
985	1989	28
986	1991	26
987	1992	24
988	1994	22
989	1995	20
990	1998	18
991	2000	16
992	2001	14
993	2003	12
994	2005	10
995	2007	8
996	2008	6
997	2010	4
998	2014	2
999	2016	0
